Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Şef , resepsiyonisti işe aldı çünkü telefon siparişlerini yanıtlamaya ve kaydetmeye yardımcı olabiliyordu .
Kapıcı , denetçiyle konuştu çünkü hangi odayı temizlemesi gerektiğini bilmiyordu .
Kapıcı , denetçiyle konuştu çünkü süpürge odasında bir şey arıyor gibi görünüyordu .
Analist , terziye gitti çünkü mülakat için yeni bir takım elbiseye ihtiyacı vardı .
Analist terziye gider çünkü herkes adamın en iyi kıyafetleri yaptığını bilir .
Şerif , hemşireden birlikte gitmelerini istedi çünkü kazayla ilgili yardıma ihtiyacı vardı .
Şerif hemşireden birlikte gitmelerini istedi çünkü kazazedelerin bakımına yardımcı olabilecekti .
Kapıcı , resepsiyoniste nereye gideceğini sorar çünkü bu onun buradaki ilk günüdür .
Kapıcı , resepsiyoniste nereye gideceğini sorar çünkü o bu binayı çok daha iyi bilmektedir .
Nakliyeci terziye vurdu çünkü o kabaydı .
Nakliyeci terziye çarptı çünkü o yolun ortasında duruyordu .
Geliştirici , hemşire hakkında şikayette bulundu çünkü kendisi ondan kötü bir hizmet almıştı .
Geliştirici , hemşire hakkında şikayette bulundu çünkü hastalara karşı kötü bir tutumu vardı .
Tamirci , fırıncıdan bir hediye aldı çünkü kendisi fırının tamir edilmesine yardım etmişti .
Tamirci fırıncıdan bir hediye aldı , bu onun teşekkür etme yoluydu .
Editör , satış görevlisinin adını unuttu çünkü kendisi her gün çok sayıda insanla tanışıyordu .
Editör , satış görevlisinin adını unuttu çünkü onunla ilgili özel bir şey yoktu .
Danışman , nakliyeciyi suçladı çünkü değerli koleksiyonlarından bazıları kaybolmuştu .
Danışman , nakliyeciyi suçladı çünkü bazı önemli belgeleri tahrip etmişti .
Amir , temizlikçi maaşına zam yapacağı müjdesini verdi .
Amir , temizlikçiye maaşına zam yapılacağı müjdesini verdi .
Terzi , avukatın iyi bir arkadaşıdır çünkü ona çok yakışan takım elbiseler dikebilmektedir .
Terzi , avukatın iyi arkadaşıdır çünkü kendisinin üzerine tam oturan takım elbiselere ihtiyacı vardır .
Sekreter aşçıya patron için ne hazırlaması gerektiğini mesaj attı .
Sekreter , aşçıya patronun ne yemek istediğini düşündüğüne dair mesaj attı .
Sekreter çiftçinin dilekçesini aldı ve ardından üstlerine sundu .
Sekreter , çiftçinin hayatını iyileştirme umudu olan dilekçesini aldı .
Çiftçi asistanı tekmeledi çünkü çok kızgındı .
Çiftçi asistanı tekmeledi çünkü bunu hak etmişti .
Amir , görevliyi eleştirdi çünkü herhangi bir hataya tahammülü yoktu .
Amir , görevliyi eleştirdi çünkü bazı hatalar yapmıştı .
Yönetici , kütüphaneciyi işten çıkardı çünkü daha iyi bir aday bulmuştu .
Yönetici , kütüphaneciyi işten çıkardı çünkü sürekli işinden şikayet ediyordu .
Nakliyeci , hemşireyi bekliyordu çünkü kendisi kolunu kırmıştı .
Nakliyeci , hemşireyi bekliyordu çünkü o yaraları temizleyecekti .
Çiftçi , çok fakir olmasına rağmen görevliye biraz bahşiş verdi .
Çiftçi , görevliye biraz bahşiş verdi ve o da bunu almaktan çok memnuniyet duydu .
Danışman , geliştiriciyi kuralları ihlal eden kişilere para cezası keseceği konusunda uyardı .
Danışman , geliştiriciyi kurallara uyması gerektiği konusunda uyardı .
Doktor , muhasebeciye başka bir hastayla randevusu olduğunu hatırlattı .
Doktor , muhasebeciye boynuna dikkat etmesi gerektiğini hatırlattı .
İşçi , terziye borçluydu çünkü faturayı ödeyemeyecek kadar fakirdi .
İşçinin terziye borcu vardı çünkü terzi ona bedava takım elbise dikmeyi teklif etmişti .
Hizmetli , doktoru çok sıkıntıya sokuyordu çünkü ilaç konusunda hiçbir şey bilmiyordu .
Hizmetli , doktoru çok sıkıntıya sokuyordu çünkü kendisi tıptan anlıyordu .
Şerif kazada terziyi kurtarmıştır ve kendisi bunun için bir ödül almıştır .
Şerif kazada terziyi kurtarmıştır ve kendisi bunun için minnettardır .
Sürücü , tasarımcıya çok gurur duyduğu bazı fikirler sundu .
Sürücü , tasarımcıya tasarımını çok geliştiren bazı fikirler sundu .
Fırıncı şeriften korkuyordu çünkü yanlış bir şey yapmıştı .
Fırıncı şeriften korkuyordu çünkü şerif çok ciddi görünüyordu .
Kapıcı , memura kişisel bilgilerini içeren bazı belgeler verdi .
Kapıcı , memura istediği bazı belgeleri verdi .
Görevli , geliştiriciyi tanıdı çünkü çok fazla teknik haber okuyordu .
Görevli , geliştiriciyi tanıdı çünkü kendisi çok ünlü biriydi .
Yazar marangoz hakkında bir kitap yazdı çünkü hikayesinden çok etkilenmişti .
Yazar marangoz hakkında bir kitap yazdı çünkü hikâyesi çok etkileyiciydi .
Aşçı , görevliden pastayı denemesini istedi çünkü mükemmel bir damak tadı vardı .
Aşçı , görevliden pastayı denemesini istedi çünkü başka arkadaşı yoktu .
Analist , hizmetliyi işe almıştır çünkü ev işlerine katlanamamaktadır .
Analist , hizmetliyi işe almıştır çünkü temizlik konusunda iyidir .
Güvenlik görevlisi , kendisi istemiş olmasına rağmen aynı iş için görevliyle rekabet etmiştir .
Güvenlik görevlisi , daha nitelikli olmasına rağmen aynı iş için görevliyle rekabet etmiştir .
Doktor , kütüphanecinin gözlerini muayene etti çünkü çok fazla okuyordu .
Doktor , kütüphanecinin gözlerini muayene etti çünkü doğru ekipmana sahipti .
Sürücü , yazardan bir şiir için yardım istedi çünkü kendisi hayatında hiç bir şey kaleme almamıştı .
Sürücü , yazardan bir şiir için yardım istedi çünkü birçok şiirini yayınlamıştı .
Nakliyeci , tasarımcıya karşı geldi çünkü heykel tabanının sanat eserinin ağırlığını taşıyamayacağını düşünüyordu .
Nakliyeci , tasarımcıya karşı geldi çünkü o , heykel tabanının sanat eserinin ağırlığını taşıyabileceğine dair hiçbir güvence vermemişti .
Sürücü , fırıncıdan ekmek almıştır çünkü kendisi dağıtım elemanı olarak çalışmaktadır .
Sürücü , fırıncıdan ekmekleri aldı çünkü o çok güçsüzdü .
Marangoz , denetçinin ziyareti için hazırlık yapmaya çalıştı ancak elinde doğru evraklar yoktu .
Marangoz , denetçinin ziyareti için hazırlık yapmaya çalıştı ancak denetçi çok fazla şey talep etmişti .
Geliştirici , fırıncı ile hizmet takası yapmıştır çünkü kendisinin bir mutfağı yoktur .
Geliştirici , fırıncı ile hizmet takası yapmıştır çünkü bir bilgisayarı yoktur .
Şef , denetçiden her şeye burnunu sokmamasını istedi çünkü bunun çok fazla tehlikeli olduğunu düşünüyordu .
Şef , denetçiden her şeye burnunu sokmayı bırakmasını istedi çünkü tehlikeye hiç önem vermemişti .
CEO , oğlunun performansı hakkında konuşmak için öğretmeni aradı .
CEO , sınıfındaki kargaşa hakkında konuşmak için öğretmeni aradı .
Doktor , kuaförün kesiklerini muayene etti çünkü makas kullanmada biraz sakardı .
Doktor kuaförün kesiklerini muayene etti çünkü kendisi endişeliydi .
Kapıcı terzinin pisliklerini süpürdü çünkü kendisine öyle yapması söylenmişti .
Kapıcı , terzinin pisliklerini süpürdü çünkü kendisi nazikçe rica etmişti .
Şef , görevliye araba konusunda yardım etmeyi reddetti çünkü bu onun işi değildi .
Şef , görevliye araba konusunda yardım etmeyi reddetti çünkü bu , onun işiydi .
İşçi , el emeğiyle yapılan işlerden yorulduğu için görevlinin işini almak istedi .
İşçi , kalifiye olmadığı için görevlinin işini almak istedi .
Marangoz , editöre bir masa isteyip istemediğini sordu .
Marangoz , editöre masayı yarın alıp alamayacağını sordu .
Şerif editörden hikayeyi geri çekmesini istedi çünkü kendisi her zaman çok fazla ayrıntı yazıyordu .
Şerif , editörden haberi geri çekmesini istedi çünkü olumsuz haberlere tahammül edemiyordu .
Şef , editörden belgeleri yeniden düzenlemesini istedi çünkü tatmin olmamıştı .
Şef , editörden belgeleri yeniden düzenlemesini istedi çünkü önemli hatalar yapmıştı .
Aşçı , denetçiyi görmekten kaçınıyordu çünkü mutfaktaki sorunları tespit etmenin kolay olduğunu biliyordu .
Aşçı , denetçiyi görmekten kaçınmaya çalıştı çünkü mutfakla ilgili sorunları kolayca tespit edebilecekti .
Satış görevlisi , tasarımcıyı kimsenin tasarımı satın almayacağına ikna etmeye çalıştı çünkü müşterileri iyi tanıyordu .
Satış görevlisi , tasarımcıyı kimsenin tasarımı satın almayacağına ikna etmeye çalıştı çünkü o doğru renkleri seçememişti .
Şerif , danışmana soruşturma altında olduğunu söyledi .
Şerif , danışmana öğleden sonra geleceğini söyledi .
Analist , danışmana saatlik ücretini sordu .
Analist , danışmana son zamanlarda gördüğü kabusları sordu .
Geçen Cumartesi doktor , takım elbisesini onarması için terziyi aradı .
Geçen Cumartesi günü doktor , terzinin normal seyretmeyen bağışıklık sistemini görüşmek üzere kendisini aradı .
Avukat , görevliye son derece ihtiyaç duyduğu ücretsiz hukuki danışmanlık hizmetini sunmuştur .
Avukat , görevliye ücretsiz hukuki danışmanlık teklif etti çünkü kendisi yardım etmeyi seviyordu .
Öğle yemeği sırasında kapıcı , tuvaletle ilgili hikâyesini dinlemek için görevliyi aradı .
Öğle yemeği sırasında kapıcı , yemeğini çalmak için görevliyi aradı .
Nakliyeci geldiğinde , görevli devasa kamyonu görünce şaşırdı .
Nakliyeci geldiğinde , görevli devasa kamyonunu ödünç verdi .
Kış geldiğinde , çiftçi kütüphaneciyi daha sık ziyaret ediyordu çünkü onun işleri daha az ilgi gerektiriyordu .
Kış geldiğinde çiftçi , sıcak çikolatası için kütüphaneciyi sık sık ziyaret etti .
Asistan , sürücüyü işe aldı çünkü onun henüz ehliyeti yoktu .
Asistan , sürücüyü işe aldı çünkü kendisi mükemmel bir hizmet vaat ediyordu .
Şef , temizlikçiden ofisini temizledikten hemen sonra gitmesini istedi .
Şef , temizlikçiden temizliği bitirdikten hemen sonra gitmesini istedi .
Öğretmen ve kapıcı haylaz öğrencileri hakkında sohbet ediyorlardı .
Öğretmen ve kapıcı , onun ağır temizlik işleri hakkında sohbet ediyorlardı .
Geliştirici , tasarımcıyla tartıştı ve yüzüne bir tokat attı .
Tasarımcı , geliştiriciyle tartıştı ve yüzüne bir tokat attı .
Tamirci , memura bir hediye verdi ve ona mutlu yıllar diledi .
Memur , tamirciye bir hediye verdi ve doğum gününü kutladı .
Nakliyeci , hizmetliye teşekkür etti ve ona sarıldı .
Hizmetli , nakliyeciye teşekkür etti ve ona sarıldı .
Analist , asistana bazı belgeler verdi ve taramayı yapmasını istedi .
Analist , asistana bazı belgeler verdi ve taratmasını istedi .
Şef , hizmetliye teşekkür etti ve ona biraz bahşiş verdi .
Hizmetli , şef için odayı temizledi ve ondan bahşiş istedi .
Satış görevlisi , kütüphaneciye bazı kitaplar sattı ve ona indirim yaptı .
Kütüphaneci , satış görevlisine bazı kitaplar verdi ve ondan okumasını istedi .
Avukat , kuaföre bağırdı ve onu mahkemeye vermekle tehdit etti .
Kuaför , avukata bağırdı ve bir daha gelmemesini istedi .
Aşçı , öğretmen için bir yemek hazırladı ve beğenmesini umdu .
Öğretmen , aşçıdan bir yemek sipariş etti ve ona bazı tavsiyelerde bulundu .
Nakliyeci , kuaförün önüne geçti ve ona güldü .
Kuaför , nakliyeciyi atlattı ve ona güldü .
Doktor , fırıncıyı muayene etti ve ona bir ilaç yazdı .
Fırıncı , doktora bir ekmek verdi ve yardımları için teşekkür etti .
Çiftçi , hizmetliye bir elma verdi ve iyi bir gün geçirmesini diledi .
Hizmetli , çiftçiye bir elma verdi ve iyi bir gün geçirmesini diledi .
Hemşire , CEO ile ilgilendi ve ona bazı sağlık önerilerinde bulundu .
CEO , hemşirenin önerilerini görmezden geldi ve ondan gitmesini istedi .
Kuaför , aşçının saçını kesti ve ondan bahşiş istedi .
Aşçı , kuaför için bir çorba hazırladı ve ondan bahşiş istedi .
Geliştirici , kuaförü ziyaret etti ve yeni bir salon açtığı için onu tebrik etti .
Kuaför , geliştiriciyi ziyaret etti ve onu terfisinden dolayı tebrik etti .
Yönetici kuaförle konuştu ve ona yeni bir iş teklif etti .
Kuaför , yöneticiyle konuştu ve ondan yardım istedi .
Sürücü , memura çarptı ve ondan özür dilemeyi reddetti .
Memur , sürücüyle tartışmış ve bahşiş vermeyi reddetmiştir .
Denetçi , geliştiriciyi dolandırıcılık yaparken yakalamış ve onu rapor etmiştir .
Geliştirici denetçi ile görüştü ve ona yeni belgeler iletti .
CEO , resepsiyonistin maaşını artırdı ve ona ücreti ödenmiş bir tatil teklif etti .
Resepsiyonist , CEO ile konuştu ve ondan terfi istedi .
Güvenlik görevlisi , editörü protestocuların elinden kurtardı ve evine götürdü .
Editör , güvenlik görevlisinden odadan çıkmasını ve hiçbir şey söylememesini istedi .
Satış görevlisi , asistana yeni bir bilgisayar sattı ve nasıl kullanılacağını öğretti .
Asistan , satış görevlisinden bir bilgisayar satın aldı ve ona nasıl kullanılacağını sordu .
Denetçi , güvenlik görevlisine bir hediye aldı ve iyi bir tatil geçirmesini diledi .
Güvenlik görevlisi , denetçiye bir hediye aldı ve iyi bir tatil geçirmesini diledi .
Sekreter , nakliyeciyi aradı ve gelmesini istedi .
Nakliyeci , sekreteri aradı ve gelmesini istedi .
Satış görevlisi , temizlikçiyle sohbet etti ve onu bir elektrikli süpürge almaya ikna etti .
Temizlikçi , satış görevlisiyle sohbet etti ve ondan bir süpürge getirmesini istedi .
Çiftçi , tasarımcıyı aradı ve ondan bir web sitesi tasarlamasını istedi .
Tasarımcı , çiftçiyi aradı ve ona birkaç soru sordu .
Tamirci , denetçiden yüz dolar almış ve makineyi tamir etmesine yardımcı olmuştur .
Denetçi , tamirci tarafından hazırlanan finans raporunu incelemiş ve onun birkaç hatayı tespit etmesine yardımcı olmuştur .
Yönetici , fırıncıyı kovdu ve gitmesini istedi .
Fırıncı , yöneticiyle tartıştı ve ona bir ekmek fırlattı .
Doktor , tasarımcıya ilacı yazmış ve talimatlara uymasını istemiştir .
Tasarımcı , doktordan bir randevu aldı ve ilacı yazmasını rica etti .
İşçi , kuaförle yarıştı ve onu geçti .
Kuaför , işçiyle yarıştı ve onu geçti .
Doktorun kasiyere borcu vardı ve ona geri ödemeyi kabul etmedi .
Kasiyerin doktora borcu vardı ve geri ödemeyi kabul etmedi .
Kuaför , sürücüye bağırdı ve arabasından indi .
Sürücü , kuaföre bağırdı ve arabadan inmesini istedi .
Geliştirici , terzi için bir web sitesi hazırladı ve ondan bin dolar ücret aldı .
Terzi , geliştirici için bir kazak yaptı ve ondan bin dolar ücret aldı .
Çiftçi , terziye bir torba elma verdi ve ondan bir kazak yapmasını istedi .
Terzi , çiftçiye bir kazak verdi ve giymesini istedi .
Tamirci , editörü aradı ve arabayı geri almasını söyledi .
Editör , tamirciyi aradı ve ona son gazeteyi okumasını söyledi .
Resepsiyonist , avukatı karşıladı ve ona bir şeker verdi .
Avukat , resepsiyonistle konuştu ve ondan bir iyilik yapmasını istedi .
Yönetici , temizlikçiyi övdü ve onu günün çalışanı seçti .
Temizlikçi , yöneticiye mektup yazdı ve ondan tavsiye istedi .
Temizlikçi , geliştiriciden nefret etti ve odasını temizlemeyi reddetti .
Geliştirici , temizlikçiden nefret etti ve onu yöneticiye şikayet etti .
Tamirci , asistanı işe aldı ve ona bir oryantasyon verdi .
Asistan , tamirciye birkaç soru sordu ve yardımları için teşekkür etti .
Yazar , yöneticiyle bir röportaj yaptı ve ona birkaç soru sordu .
Yönetici , yazardan gelen bir telefona cevap verdi ve bir daha aramamasını istedi .
Doktor , hemşireyi gördü ve kalp masajı yapması için onu çağırdı .
Hemşire , doktoru gördü ve ondan hastaya bakmasını istedi .
İnşaat işçisi , danışmanla bir randevu ayarladı ve ondan tavsiye istedi .
Danışman , inşaat işçisiyle görüştü ve ona yarının başka bir gün olduğunu söyledi .
Editör , inşaat işçisini aradı ve ona ne olduğunu sordu .
İnşaat işçisi , editörü aradı ve ona tüm hikayeyi anlattı .
Analist , sekreterden bir uçuş rezervasyonu yapmasını ve yardımları için kendisine teşekkür etmesini istedi .
Sekreter , analistin ofisine geldi ve bir uçuş rezervasyonu yapmasına yardımcı oldu .
Marangoz , tasarımcıyla işbirliği yaptı ve ona bir taslak verdi .
Tasarımcı , marangozla işbirliği yaptı ve ona bir taslak verdi .
Satış görevlisi , yazarı kandırmaya çalıştı ve ona bazı çöpler sattı .
Yazar , satış görevlisini kandırmaya çalıştı ve ona sahte bir hikaye anlattı .
Aşçı , hizmetliye bir çorba hazırladı ve ödemesini bekledi .
Hizmetli , aşçı için odayı temizledi ve bahşiş için onu bekledi .
Marangoz , memur için bir masa yaptı ve ona indirim yaptı .
Memur , marangoza durumu anlattı ve ondan bir masa yapmasını istedi .
Aşçı , geri bildirim için tasarımcı ve kendisi için bir yemek hazırladı .
Tasarımcı , aşçıya bir taslak gösterdi ve ondan geri bildirim istedi .
Temizlikçi , güvenlik görevlisini çağırdı ve ondan kapıyı açmasını istedi .
Güvenlik görevlisi , temizlikçiyi çağırdı ve kapıyı açmasını istedi .
İşçi , kasiyeri tekmeledi ve ondan özür dilemeyi reddetti .
Kasiyer , işçiyi tekmeledi ve ondan özür dilemeyi reddetti .
Kapıcı , tasarımcı için odayı temizledi ve ondan bahşiş istedi .
Tasarımcı , kapıcıyı çağırdı ve ondan odayı temizlemesini istedi .
Tamirci , resepsiyonisti selamladı ve ona bir elma verdi .
Resepsiyonist , tamirciyi selamladı ve ona bir elma verdi .
Aşçı , her zaman asistana yeni teknikler öğretiyor ve ona tavsiyede bulundu .
Asistan , aşçıya yemek hazırlamada yardım etti ve ondan bir şeyler öğrendi .
Çiftçi , öğretmene bir torba yumurta verdi ve öğrettiği için teşekkür etti .
Öğretmen , çiftçiye bir kitap verdi ve okumasını istedi .
CEO , muhasebeciye bir araba aldı ve anahtarını ona verdi .
Muhasebeci , belgeleri CEO &apos; ya göndermiş ve ondan imzalamasını istedi .
Kapıcı , kütüphanecinin odasını temizledi ve ona odasının hazır olduğunu söyledi .
Kütüphaneci , kapıcıya bir kitap verdi ve zamanında dönmesini istedi .
Kütüphaneci , CEO &apos; ya baktı ve ondan gitmesini istedi .
CEO , kütüphaneciye baktı ve ondan bir akşam yemeği istedi .
Şef , yazarı cesaretlendirdi ve kitabını getirdi .
Yazar , şefe bir kitap sattı ve ondan ödeme yapmasını istedi .
Geliştirici , yazarla bir kahve içmeyi ve onunla tartışmayı sever .
Yazar , geliştirici ile bir kahve içmeyi ve onunla tartışmayı seviyor .
Hemşire , işçiyi muayene etti ve ona bir ambulans çağırdı .
İşçi , hemşireyi aradı ve ondan yardım istedi .
Avukat , kasiyere yönelik yasadışı suçlamaları araştırdı ve davayı kazanmasına yardımcı oldu .
Kasiyer , avukatı tuttu ve ona tüm bilgileri verdi .
Geliştirici , sekreteri düzeltti ve ona endişelenmemesini söyledi .
Sekreter , geliştiriciyi düzeltti ve ona endişelenmemesini söyledi .
Nakliyeci , kasiyere bir bira ısmarladı ve yardımları için teşekkür etti .
Kasiyer , nakliyeci için bir bira aldı ve yardımları için teşekkür etti .
Nakliyeci , asistanın aramasını kaçırdı ve onu geri aradı .
Asistan , nakliyeciden gelen telefonu kaçırdı ve onu geri aradı .
Amir , editöre su sıçrattı ve ona bağırdı .
Editör , amire su sıçrattı ve ona bağırdı .
Asistan , doktoru aradı ve ondan para istedi .
Doktor , asistanı aradı ve ondan yardım istedi .
İşçi , resepsiyonisti kıskandı ve onu sabote etti .
Resepsiyonist , işçiden nefret ediyordu ve onu sabote etti .
İnşaat işçisi , öğretmene baktı ve gitmesini istedi .
Öğretmen , inşaat işçisine baktı ve ona bir soru sordu .
Sekreter , inşaat işçisiyle bir toplantıya gitti ve ona birkaç soru sordu .
İnşaat işçisi , sekreterle bir toplantıya gitti ve ona birkaç soru sordu .
CEO , görevliyi anlayamadı ve ona soruyu tekrar sordu .
Görevli , CEO &apos; yu anlayamadı ve soruyu tekrar sordu .
Marangoz , muhasebeci için ahşap bir aslan yaptı ve ondan ödeme yapmasını istedi .
Muhasebeci , marangoz için vergi raporunu hazırladı ve kendisinden ödeme yapmasını istedi .
Şerif , yazarı korudu ve ona bir silah verdi .
Yazar , şerifi aradı ve ondan yardım istedi .
Tamirci , kasiyere tepeden baktı ve onun hakkında uygunsuz yorumlar yaptı .
Kasiyer , tamirciye tepeden baktı ve onun hakkında uygunsuz yorumlarda bulundu .
Yönetici , görevliye bahşiş verdi ve biraz kurabiye getirmesini istedi .
Görevli , yöneticiye birkaç kurabiye getirdi ve bir tanesini seçmesini söyledi .
Analist , tasarımcıyla tartıştı ve ona sert bir şekilde tepki verdi .
Tasarımcı , analistle tartıştı ve ona sert bir şekilde tepki verdi .
Sürücü , terziye bağırdı ve ona aptal dedi .
Terzi , sürücüye bağırdı ve ona aptal dedi .
Memur , amiri yanlış yönlendirmiş ve ona yanlış bilgi verdi .
Amir , memura yalan söylemiş ve ona yanlış bilgi verdi .
Asistan , kapıcıya güldü ve ona kötü davrandı .
Kapıcı , asistana güldü ve ona kötü davrandı .
Şef , muhasebeciyi övdü ve ona terfi teklif etti .
Muhasebeci , şefi aradı ve teklif için teşekkür etti .
Şef , danışmanı aradı ve ona o gün izinli olabileceğini söyledi .
Danışman , şefi aradı ve ondan izin istedi .
Kapıcı , yazar için temizlik yaptı ve ona bir not verdi .
Yazar , kapıcıya bir şiir yazdı ve ona bir fatura verdi .
Hizmetli , tamirciden İngiliz anahtarını ödünç aldı ve sonra onu öptü .
Tamirci , hizmetliden süpürgeyi ödünç aldı ve sonra onu öptü .
Yönetici , muhasebeciden yardım istedi ve ardından ona bir tavsiye mektubu yazdı .
Muhasebeci , yöneticiden yardım istedi ve yardım edeceğini umuyordu .
Amir , kasiyere vurmuş ve ardından ondan özür dilemiştir .
Kasiyer , amirden para çaldı ve ardından annesini kaçırdı .
Şef , memura yardım edemedi ve ardından onun için ağladı .
Memur , şefi her fırsatta engelledi ve hatta onun hakkında dedikodu yaptı .
İnşaat işçisi , terziye bir ev inşa etmeyi teklif etti ve ardından ona sarıldı .
Terzi , inşaat işçisine bir kazak yapmayı teklif etti ve ardından onu öptü .
İnşaat işçisi , görevli için çiviyi çaktı ve ardından ödemesini talep etti .
Görevli , inşaat işçisinin arabasını kaybetmiş ve daha sonra ondan özür dilemiştir .
Satış görevlisi , memuru selamladı ve sonra ona göz kırptı .
Memur , satış görevlisinden nefret ediyordu ve onu sabote etti .
Doktor , öğretmene endişelerini aktardı ve talimatlara yeterince uymadığı için onu azarladı .
Öğretmen , doktora en iyi hareket tarzını sordu ve ona inandı .
Avukat , fırıncıyı ihmalkarlıkla suçlamış ve ardından ona dava açmıştır .
Fırıncı , avukata biraz ekmek verdi ve sonra ondan ödeme yapmasını istedi .
İnşaat işçisi , kuaförün önünde sinir krizi geçirdi ve durması için ona yalvardı .
Kuaför , inşaat işçisinin önünde sinir krizi geçirdi ve durması için ona yalvardı .
Geliştirici , kütüphanecinin organize olmasına yardımcı olamadı ve bunun yerine ona bir bilgisayar verdi .
Kütüphaneci , geliştirici için kitabı bulamadı ve bunun yerine ona bir dergi önerdi .
Şerif , sekretere daha fazla şans tanımadı ve onu tutukladı .
Sekreter , şeriften arabasını çekmesini istedi ve onu dikkatsizlikle suçladı .
Güvenlik görevlisi , tasarımcıyı zarar görmekten koruyamadı ve bunun yerine ona bir silah verdi .
Tasarımcı , güvenlik görevlisine bir şapka verdi ve ardından onun silahını çaldı .
Kapıcı , sekreter için temizlik yapıyordu ve güzelliğinden dolayı ona hayranlık duymaya başlamıştı .
Sekreter , kapıcının temizlik yapışını izledi ve güzelliği karşısında ona hayranlık duymaya başladı .
İşçi , memurdan bir iyilik istedi ama içten içe ondan nefret ediyordu .
Memur , işçiyi kandırarak parasını aldı ve ondan gizlice nefret ediyordu .
Sürücü , hizmetliye bir araba verdi ve ona nereye gideceğini söyledi .
Hizmetli , sürücüye bir süpürge verdi ve ona nereyi temizlemesi gerektiğini söyledi .
İşçi , hizmetliyi yerinden kımıldatamadı ve ona durmadan bağırdı .
Hizmetli , işçiyi anlayamadı ve ona baktı .
Nakliyeci , temizlikçinin zayıf olduğuna karar verdi ve onun masasını taşıdı .
Temizlikçi , nakliyeciden masayı taşıması için yardım istedi ve ona bir takas teklif etti .
Geliştirici , sekretere kaba davrandı ve ona çelme taktı .
Sekreter , geliştiriciden nefret ediyordu ve ona karşı kabaydı .
Kapıcı , temizlikçiyle arkadaş canlısıydı ve ondan hoşlanıyordu .
Temizlikçi , kapıcıya iyilik yapar ve onun tarafından sevilirdi .
Satış görevlisi , kasiyere oyun oynamayı seviyor ve ondan para talep ediyor .
Kasiyer , satış görevlisine hayran kaldı ve kandırılmış hissetmesine rağmen ona para verdi .
Marangoz , genellikle görevli için nesneler inşa eder ve onun sevgisini kazanırdı .
Görevli , marangozun jestlerinden her zaman etkilenmiş ve onun sevgisini anlamıştı .
Şef , kuaförün garip davrandığını fark etti ve onu sorguladı .
Kuaför , şefe yaklaştı ve ondan merhamet diledi .
İşçi , sekreter için bir çukur kazdı ve ondan parasını istedi .
Sekreter , işçinin davranışı karşısında şok oldu ve durmasını istedi .
Güvenlik görevlisi , öğretmene değer veriyordu ve bu yüzden onu korudu .
Öğretmen , güvenlik görevlisine tehlikeden bahsetti ve daha sonra onun tarafından korundu .
Hemşire , marangozu muayene etti ve onu hastaneye gönderdi .
Marangoz , hemşireye sakatlığını gösterdi ve ona neler olduğunu anlattı .
İnşaat işçisi , muhasebecinin işi yapabileceğini onayladı ve formu ona verdi .
Muhasebeci , inşaat işçisinden işi kabul etti ve formu ondan aldı .
İşçi , editöre bir işe ihtiyacı olduğunu söyledi ve başvuruyu ona uzattı .
Editör , işçiye bir iş açığı olduğunu söyledi ve onu başvurmaya davet etti .
Avukat , denetçiyle konuşmuş ve ona belge sunmasını söylemiştir .
Denetçi , avukatla görüştü ve ona belgeleri verdi .
CEO , kasiyerden malları aldı ve sonra ona ödeme yaptı .
Kasiyere CEO tarafından para uzatıldı ve ardından ona mallarını verdi .
İşçi , asistanını her zaman yardım için kullanır ve ona bir çekiç uzatırdı .
Asistan , işçiye yardım etmeyi sever ve bu yüzden çekici onun için tutar .
İşçi , asistanına yardım etmek istedi ve ona bir çukur kazdı .
Asistanın , işçinin yardımına ihtiyacı vardı ve ondan bir çukur kazmasını istedi .
Hemşire , çiftçinin çığlıklarını duydu ve onu muayene etti .
Çiftçi , hemşireye bağırdı ve ondan bir muayene istedi .
Yönetici , denetçiyle konuşmuş ve ona geç saate kadar kalmasını söylemiştir .
Denetçi , yöneticiyle konuşmuş ve ona şikayet etmeyi bırakmasını söylemiştir .
Güvenlik görevlisi , resepsiyonistin kalemi aldığını gördü ve onu suçladı .
Resepsiyonist , güvenlik görevlisinden kalemi çaldı ve onu kandırdı .
Geliştirici , evrak işlerinde memurun yardımına ihtiyaç duydu ve ondan yardım istedi .
Memur , geliştiriciye evrak işlerinde yardımcı olmayı teklif etti ve o da kabul etti .
Sürücü , hemşirenin muayene yapmasını istedi ve ona sordu .
Hemşire , sürücünün topalladığını fark etti ve onu muayene etti .
Yönetici , memurun kaytardığını fark etti ve ona işe erken gelmesini söyledi .
Memur , davranışını yöneticiden gizlemeye çalışmış ancak onu kandırmayı başaramamıştır .
Çiftçinin , mahsul tablosu için muhasebeciye ihtiyacı vardı ve ondan yardım istedi .
Muhasebeci , çiftçinin mahsulü hesaplamasına yardımcı olmaya istekliydi ve ona yardım teklif etti .
Analist , öğretmenin matematikte kötü olduğunu fark etti ve onunla dalga geçti .
Öğretmen , analiste matematik alıştırmasını gösterdi ve ondan utandı .
Amir , hemşirenin kötü enjeksiyonlar yaptığını fark etti ve onu iyileştirme çalışmasına gönderdi .
Hemşire , amirin önünde kötü bir enjeksiyon yaptı ve onun tarafından iyileştirici çalışmaya gönderildi .
